step,epoch,loss,lm,cls,rec,dist,ahead,lr
83,0,2.1019134521484375,1.967125415802002,1.2489572763442993,0.0805305615067482,4.603497018251801e-06,0.11731773614883423,1.929375547393579e-05
84,0,2.2724802494049072,2.1561543941497803,1.0837982892990112,0.05629367753863335,4.989889021089766e-06,0.10262271761894226,1.927685555885723e-05
85,0,1.4003957509994507,1.367652416229248,0.2160685509443283,0.06145968288183212,4.352910309535218e-06,0.16126805543899536,1.925976382136139e-05
86,0,1.1663175821304321,1.0490219593048096,1.0753390789031982,0.0802842229604721,5.135799256095197e-06,0.11494697630405426,1.9242480634996453e-05
87,0,0.8964728116989136,0.8608963489532471,0.2633679211139679,0.06602980196475983,4.844024715566775e-06,0.11876088380813599,1.92250063774948e-05
88,0,1.197678804397583,1.1627248525619507,0.2578867971897125,0.07560870051383972,4.820572939934209e-06,0.10769254714250565,1.9207341430764776e-05
89,0,1.897402286529541,1.8659398555755615,0.23240354657173157,0.04225273057818413,4.602266471920302e-06,0.12218636274337769,1.9189486180882312e-05
90,0,1.2156764268875122,1.1100120544433594,0.9302012920379639,0.11997825652360916,4.8726960812928155e-06,0.13290461897850037,1.9171441018082527e-05
91,0,1.9449433088302612,1.936497449874878,,0.04983137175440788,5.110865913593443e-06,0.11908268183469772,1.915320633675117e-05
92,0,1.3077799081802368,1.2746082544326782,0.2403051108121872,0.05268137902021408,4.570873898046557e-06,0.13013771176338196,1.9134782535416003e-05
93,0,0.7012150883674622,0.6696919798851013,0.2425161749124527,0.03450679033994675,4.513603926170617e-06,0.11092095077037811,1.9116170016738103e-05
94,0,1.730602741241455,1.6838985681533813,0.3656860291957855,0.07535518705844879,5.048049388278741e-06,0.12735393643379211,1.909736918750306e-05
95,0,0.9301308989524841,0.8828436732292175,0.3521130681037903,0.10536424070596695,5.263767889118753e-06,0.13615106046199799,1.907838045861207e-05
96,0,1.3551403284072876,1.3179353475570679,0.2781461477279663,0.09761705249547958,5.106738171889447e-06,0.09018709510564804,1.9059204245072977e-05
97,0,1.3035844564437866,1.2673265933990479,0.28594762086868286,0.0505896620452404,5.158390649739886e-06,0.10267113149166107,1.9039840965991196e-05
98,0,1.3486300706863403,1.2970118522644043,0.427467942237854,0.055518828332424164,5.270309429761255e-06,0.12190832197666168,1.9020291044560533e-05
99,0,1.2966444492340088,1.2638059854507446,0.26894763112068176,0.03188781812787056,5.200133273319807e-06,0.08698111772537231,1.9000554908053973e-05
100,0,1.3866984844207764,1.3535957336425781,0.23947502672672272,0.07714466005563736,5.294786205922719e-06,0.10595837980508804,1.8980632987814306e-05
101,0,1.4479296207427979,1.4149854183197021,0.2466089427471161,0.07315589487552643,5.070451607025461e-06,0.09250695258378983,1.8960525719244723e-05
102,0,1.409633994102478,1.3087513446807861,0.8881433606147766,0.11070076376199722,5.282719939714298e-06,0.1306619644165039,1.8940233541799284e-05
103,0,1.8799388408660889,1.8464637994766235,0.22450952231884003,0.10095441341400146,5.045169473305577e-06,0.11952720582485199,1.8919756898973337e-05
104,0,0.7283190488815308,0.6934582591056824,0.28234702348709106,0.04216468706727028,5.254249117569998e-06,0.09035489708185196,1.8899096238293793e-05
105,0,1.4249588251113892,1.3033068180084229,1.1453546285629272,0.04805104434490204,5.6984204093168955e-06,0.09427698701620102,1.887825201130937e-05
106,0,2.473541259765625,2.304965019226074,1.5687255859375,0.11452829092741013,5.5986197367019486e-06,0.11954578757286072,1.8857224673580724e-05
107,0,1.300839900970459,1.2595534324645996,0.29313719272613525,0.11518450826406479,5.289762611937476e-06,0.12426818907260895,1.883601468467047e-05
108,0,0.9572409987449646,0.928449273109436,0.19061507284641266,0.08550462126731873,5.399761903390754e-06,0.10909770429134369,1.881462250813316e-05
109,0,1.0935900211334229,1.0644118785858154,0.19461467862129211,0.09012462198734283,4.991234618501039e-06,0.1042059138417244,1.8793048611505142e-05
110,0,1.1547714471817017,1.1230220794677734,0.24263785779476166,0.05133821442723274,5.864553713763598e-06,0.09837214648723602,1.8771293466294353e-05
111,0,1.4980844259262085,1.406211256980896,0.8125606775283813,0.07820509374141693,6.71853968015057e-06,0.13413342833518982,1.8749357547969997e-05
112,0,1.407078504562378,1.3173065185546875,0.8014281988143921,0.07639767229557037,6.122805189079372e-06,0.11618202924728394,1.8727241335952164e-05
113,0,1.7862379550933838,1.685817837715149,0.8952295780181885,0.09119244664907455,6.096213382988935e-06,0.12674883008003235,1.8704945313601346e-05
114,0,1.2499843835830688,1.2094337940216064,0.3196437358856201,0.07212178409099579,6.229597147466848e-06,0.09959884732961655,1.868246996820788e-05
115,0,1.548505425453186,1.5239722728729248,0.17899470031261444,0.05383344367146492,5.560278623306658e-06,0.07883734256029129,1.8659815790981296e-05
116,0,0.9269247055053711,0.9014328122138977,0.1801726371049881,0.05580076947808266,5.6602220865897834e-06,0.09368955343961716,1.8636983277039583e-05
117,0,1.5057867765426636,1.3783092498779297,1.2004891633987427,0.04613986983895302,6.440459401346743e-06,0.1024322509765625,1.8613972925398354e-05
118,0,1.3225646018981934,1.2971808910369873,0.1806805282831192,0.046054255217313766,6.101797680457821e-06,0.1002560630440712,1.8590785238959965e-05
119,0,1.7103979587554932,1.6727867126464844,0.2815108299255371,0.07288223505020142,6.037540970282862e-06,0.1163196787238121,1.8567420724502495e-05
120,0,1.0927520990371704,1.0596778392791748,0.24270229041576385,0.061030060052871704,6.1491186897910666e-06,0.1150488331913948,1.8543879892668693e-05
121,0,0.8725838661193848,0.843867301940918,0.21955665946006775,0.046066563576459885,6.406726697605336e-06,0.0891498327255249,1.8520163257954816e-05
122,0,1.0746794939041138,1.0464059114456177,0.21559195220470428,0.04552033543586731,6.415109965018928e-06,0.08876410871744156,1.849627133869936e-05
123,0,1.4528549909591675,1.4260493516921997,0.17832976579666138,0.06477779150009155,6.373089036060264e-06,0.1146717518568039,1.847220465707177e-05
124,0,1.7132047414779663,1.6115162372589111,0.8918899297714233,0.12029147148132324,6.370274604705628e-06,0.1296956092119217,1.8447963739060986e-05
125,0,1.1647453308105469,1.1291340589523315,0.29597702622413635,0.03520522266626358,6.793669399485225e-06,0.08506250381469727,1.8423549114463985e-05
126,0,1.974656105041504,1.8729956150054932,0.8916239738464355,0.1199251338839531,6.5067979448940605e-06,0.130036860704422,1.839896131687418e-05
127,0,1.3894740343093872,1.3812533617019653,,0.05809615179896355,6.963715804886306e-06,0.10631470382213593,1.837420088366976e-05
128,0,1.6680800914764404,1.5486849546432495,1.136329174041748,0.03578677028417587,6.937649231986143e-06,0.07945556938648224,1.834926835600195e-05
129,0,1.4026458263397217,1.3780406713485718,0.18168799579143524,0.06720936298370361,5.99298664383241e-06,0.061515018343925476,1.832416427878319e-05
130,0,1.5371735095977783,1.5116077661514282,0.17911769449710846,0.05501790717244148,6.755805316061014e-06,0.09805971384048462,1.8298889200675206e-05
131,0,1.8364146947860718,1.7396240234375,0.8824249505996704,0.06531046330928802,7.581808404211188e-06,0.1056508868932724,1.8273443674077044e-05
132,0,1.344172477722168,1.321406364440918,0.15984530746936798,0.0478195883333683,6.3779671108932234e-06,0.08780881017446518,1.8247828255112973e-05
133,0,0.8737958073616028,0.842186450958252,0.22422005236148834,0.08567111939191818,6.610634954995476e-06,0.09807352721691132,1.8222043503620346e-05
134,0,0.6607590317726135,0.6230759024620056,0.29030168056488037,0.07406193017959595,6.587412372027757e-06,0.09899503737688065,1.819608998313736e-05
135,0,0.7179651260375977,0.6907134652137756,0.20423080027103424,0.04346544295549393,6.843687970103929e-06,0.09310457855463028,1.8169968260890742e-05
136,0,1.5049450397491455,1.4123948812484741,0.8648738265037537,0.04714002087712288,7.545190783275757e-06,0.07411348074674606,1.814367890778335e-05
137,0,1.750109314918518,1.7165217399597168,0.2533075511455536,0.055431757122278214,7.725921022938564e-06,0.10970152914524078,1.811722249838169e-05
138,0,1.025405764579773,0.9829676747322083,0.3539443016052246,0.045943018049001694,7.3110700213874225e-06,0.09492804855108261,1.809059961090337e-05
139,0,2.4504361152648926,2.36746883392334,0.7397394776344299,0.08246990293264389,8.433979019173421e-06,0.09739413112401962,1.806381082720445e-05
140,0,1.0581163167953491,1.0320781469345093,0.16425594687461853,0.07992582023143768,6.933461463631829e-06,0.1123233288526535,1.803685673276674e-05
141,0,1.6887550354003906,1.6463226079940796,0.3474465608596802,0.05418435111641884,6.449030479416251e-06,0.09956852346658707,1.8009737916684984e-05
142,0,1.4360675811767578,1.4065619707107544,0.18997102975845337,0.10237917304039001,6.713742095598718e-06,0.10778845846652985,1.7982454971654018e-05
143,0,1.1178113222122192,0.9650925397872925,1.463712215423584,0.03862814977765083,7.6845408329973e-06,0.08831876516342163,1.7955008493955776e-05
144,0,0.9232174158096313,0.7666488885879517,1.4940435886383057,0.05392629653215408,7.936325346236117e-06,0.08935371041297913,1.7927399083446285e-05
145,0,1.94428288936615,1.837449073791504,0.964303731918335,0.09435341507196426,7.991363418113906e-06,0.11371234804391861,1.7899627343542548e-05
146,0,1.133812665939331,1.1068283319473267,0.19007553160190582,0.0540507547557354,7.216333415271947e-06,0.10548017919063568,1.787169388120935e-05
147,0,1.2051899433135986,1.1570963859558105,0.43456029891967773,0.030041441321372986,8.249274287663866e-06,0.06270703673362732,1.7843599306946004e-05
148,0,1.6273692846298218,1.5471101999282837,0.7146806120872498,0.07917187362909317,9.19308058655588e-06,0.09664366394281387,1.7815344234773002e-05
149,0,0.7829726338386536,0.7450671792030334,0.29487550258636475,0.06163398548960686,8.259708010882605e-06,0.10672134906053543,1.7786929282218588e-05
150,0,1.0954173803329468,1.0247334241867065,0.6577664613723755,0.02061324007809162,8.851898201100994e-06,0.07752877473831177,1.7758355070305276e-05
151,0,1.6517910957336426,1.5704522132873535,0.7240426540374756,0.06854510307312012,9.442705959372688e-06,0.11014184355735779,1.7729622223536268e-05
152,0,1.1958762407302856,1.1744111776351929,0.1537914276123047,0.05136306211352348,7.524664397351444e-06,0.07035242021083832,1.7700731369881808e-05
153,0,1.6964460611343384,1.6408742666244507,0.5065944194793701,0.03850157931447029,9.262371349905152e-06,0.059741705656051636,1.7671683140765457e-05
154,0,1.009355902671814,0.9418427348136902,0.6270999312400818,0.01923096552491188,9.361610864289105e-06,0.07682777941226959,1.764247817105029e-05
